 SOLAR ZENITH ANGLE (deg) =    40.0000000000000     
 FIXED SPECIES MIXING RATIOS:
    O2 =   0.210000000000000       CO2 =   3.550000000000000E-004  CH4 = 
  1.600000000000000E-006

 PO2= 1.515E-01  PNO= 3.562E-02  ZAPNO= 3.765E+03
 N= 3     X= 7.00286E-01  ERR= 1.03990E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  5.00E+04 2.01E-10 7.65E-17 1.18E-02 7.70E-14 1.31E-11 1.22E-09 2.30E-08 7.26E-21 5.50E-07 1.60E-06 9.00E-08 5.95E-10
  1.50E+05 2.06E-10 1.07E-16 8.40E-03 9.49E-14 1.33E-11 1.22E-09 2.69E-08 8.27E-21 5.50E-07 1.59E-06 7.99E-08 5.63E-10
  2.50E+05 2.01E-10 1.54E-16 5.76E-03 1.16E-13 1.32E-11 1.16E-09 3.23E-08 9.32E-21 5.51E-07 1.59E-06 7.12E-08 4.85E-10
  3.50E+05 1.86E-10 2.20E-16 3.69E-03 1.37E-13 1.25E-11 9.98E-10 3.89E-08 1.02E-20 5.51E-07 1.58E-06 6.40E-08 3.75E-10
  7.50E+05 6.62E-11 7.00E-16 2.51E-04 1.41E-13 4.74E-12 2.20E-10 6.75E-08 8.19E-21 5.52E-07 1.58E-06 4.65E-08 4.72E-11
  1.15E+06 1.13E-11 2.30E-15 1.04E-05 8.36E-14 6.31E-13 1.23E-11 1.05E-07 4.71E-21 5.52E-07 1.57E-06 3.87E-08 1.28E-12
  1.55E+06 7.60E-12 3.93E-14 8.63E-06 1.09E-13 4.80E-13 6.76E-13 5.28E-07 6.04E-21 5.47E-07 1.50E-06 2.06E-08 1.49E-13
  1.95E+06 1.15E-11 5.17E-13 9.03E-06 2.81E-13 1.56E-12 3.16E-12 1.86E-06 1.83E-20 5.23E-07 1.31E-06 1.08E-08 3.42E-13
  2.35E+06 2.24E-11 4.49E-12 9.54E-06 1.05E-12 7.17E-12 2.67E-11 4.05E-06 1.35E-19 4.82E-07 1.08E-06 9.38E-09 1.28E-12
  2.75E+06 4.39E-11 3.23E-11 1.01E-05 4.49E-12 2.89E-11 1.43E-10 6.72E-06 1.68E-18 4.27E-07 8.46E-07 9.84E-09 3.05E-12
  3.15E+06 6.42E-11 1.81E-10 1.06E-05 1.80E-11 7.23E-11 2.72E-10 8.38E-06 3.13E-17 3.57E-07 6.21E-07 9.79E-09 3.03E-12
  3.55E+06 6.96E-11 8.69E-10 1.11E-05 6.02E-11 1.21E-10 2.34E-10 8.06E-06 7.16E-16 2.79E-07 4.22E-07 9.20E-09 2.02E-12
  3.95E+06 6.35E-11 4.15E-09 1.14E-05 1.75E-10 1.66E-10 1.44E-10 6.58E-06 1.67E-14 2.09E-07 2.74E-07 8.61E-09 1.29E-12
  4.35E+06 5.06E-11 1.87E-08 1.17E-05 4.00E-10 2.26E-10 1.01E-10 4.67E-06 2.97E-13 1.62E-07 1.81E-07 8.70E-09 1.02E-12
  4.75E+06 3.45E-11 5.85E-08 1.18E-05 6.23E-10 2.99E-10 9.04E-11 3.24E-06 2.39E-12 1.40E-07 1.34E-07 1.05E-08 9.71E-13
  5.15E+06 2.30E-11 1.33E-07 1.18E-05 8.22E-10 3.75E-10 8.84E-11 2.27E-06 1.14E-11 1.36E-07 1.13E-07 1.70E-08 9.36E-13
  5.55E+06 1.63E-11 2.44E-07 1.18E-05 1.12E-09 5.01E-10 1.07E-10 1.55E-06 4.44E-11 1.43E-07 1.04E-07 3.45E-08 8.53E-13
  5.95E+06 1.22E-11 3.74E-07 1.18E-05 1.84E-09 8.35E-10 2.04E-10 9.52E-07 1.79E-10 1.53E-07 1.01E-07 7.44E-08 6.97E-13
  6.35E+06 9.64E-12 8.93E-07 1.18E-05 4.30E-09 1.84E-09 5.17E-10 8.75E-07 1.51E-09 1.62E-07 9.99E-08 1.59E-07 5.32E-13

     Z        CH3O2    N2O      NO       NO2      HNO2     HNO3     HO2NO2   NO3      N2O5     CL2O2    CH3CL    HOCL    
  5.00E+04 6.79E-12 3.00E-07 5.66E-12 1.54E-11 3.18E-14 1.29E-10 3.70E-13 9.57E-15 7.14E-17 1.37E-22 5.00E-10 2.25E-13
  1.50E+05 6.71E-12 3.00E-07 7.11E-12 1.77E-11 4.35E-14 1.98E-10 7.78E-13 1.11E-14 1.39E-16 4.22E-22 4.85E-10 2.90E-13
  2.50E+05 6.32E-12 3.00E-07 8.94E-12 2.05E-11 5.90E-14 2.87E-10 1.72E-12 1.34E-14 2.96E-16 1.35E-21 4.71E-10 3.61E-13
  3.50E+05 5.49E-12 3.00E-07 1.16E-11 2.42E-11 7.95E-14 3.77E-10 3.93E-12 1.61E-14 6.70E-16 4.02E-21 4.60E-10 4.11E-13
  7.50E+05 1.18E-12 3.00E-07 3.11E-11 3.15E-11 1.40E-13 5.65E-10 7.19E-11 1.34E-14 1.18E-14 1.86E-19 4.35E-10 1.71E-13
  1.15E+06 8.23E-14 2.99E-07 1.12E-10 4.85E-11 1.67E-13 6.25E-10 3.71E-11 4.97E-15 7.60E-14 7.52E-19 4.25E-10 8.30E-15
  1.55E+06 4.68E-14 2.85E-07 2.49E-10 2.63E-10 1.86E-13 1.97E-09 5.84E-11 2.43E-14 1.32E-12 1.53E-17 3.64E-10 2.12E-14
  1.95E+06 7.57E-14 2.45E-07 4.55E-10 9.42E-10 3.02E-13 5.89E-09 1.92E-10 1.69E-13 1.65E-11 3.50E-16 2.47E-10 2.97E-13
  2.35E+06 1.92E-13 1.90E-07 7.51E-10 2.04E-09 5.71E-13 9.98E-09 3.87E-10 5.76E-13 5.07E-11 2.03E-15 1.45E-10 3.20E-12
  2.75E+06 4.46E-13 1.33E-07 1.52E-09 4.46E-09 1.39E-12 1.14E-08 5.09E-10 1.44E-12 8.57E-11 3.25E-15 7.51E-11 1.73E-11
  3.15E+06 7.05E-13 7.94E-08 3.66E-09 8.37E-09 3.89E-12 8.61E-09 3.32E-10 2.17E-12 5.72E-11 3.76E-15 3.24E-11 4.84E-11
  3.55E+06 9.91E-13 4.03E-08 7.46E-09 9.76E-09 7.70E-12 4.18E-09 9.84E-11 1.93E-12 1.23E-11 3.56E-15 1.13E-11 8.37E-11
  3.95E+06 1.45E-12 1.90E-08 1.17E-08 6.56E-09 1.03E-11 1.36E-09 1.55E-11 1.13E-12 1.03E-12 1.48E-15 3.38E-12 8.20E-11
  4.35E+06 2.12E-12 9.11E-09 1.40E-08 2.43E-09 8.60E-12 2.49E-10 1.62E-12 4.12E-13 3.08E-14 2.43E-16 9.74E-13 5.02E-11
  4.75E+06 2.58E-12 4.75E-09 1.31E-08 6.68E-10 4.34E-12 3.05E-11 1.77E-13 9.98E-14 6.26E-16 3.39E-17 3.48E-13 2.23E-11
  5.15E+06 2.72E-12 2.74E-09 1.10E-08 1.84E-10 1.87E-12 3.83E-12 2.33E-14 2.09E-14 1.46E-17 5.07E-18 1.73E-13 8.52E-12
  5.55E+06 2.46E-12 1.82E-09 9.06E-09 5.64E-11 8.68E-13 6.14E-13 4.00E-15 4.52E-15 4.33E-19 6.85E-19 1.14E-13 3.47E-12
  5.95E+06 1.77E-12 1.40E-09 7.58E-09 2.44E-11 5.12E-13 1.70E-13 1.19E-15 1.28E-15 2.40E-20 6.27E-20 9.24E-14 1.70E-12
  6.35E+06 1.16E-12 1.26E-09 6.89E-09 1.53E-11 4.41E-13 9.18E-14 5.99E-16 6.20E-16 3.32E-21 4.25E-21 8.55E-14 1.01E-12

     Z        CL       CLO      HCL      CLONO2   H2S      HS       SO       SO2      H2SO4    HSO     
  5.00E+04 1.32E-17 1.66E-14 1.05E-11 5.32E-13 1.68E-12 3.66E-18 4.61E-20 2.67E-11 2.40E-12 3.11E-14
  1.50E+05 1.90E-17 2.34E-14 1.51E-11 7.60E-13 1.71E-12 4.26E-18 6.81E-20 4.61E-11 4.74E-12 3.45E-14
  2.50E+05 2.69E-17 3.29E-14 2.02E-11 1.05E-12 1.76E-12 4.87E-18 1.01E-19 6.33E-11 7.38E-12 3.76E-14
  3.50E+05 3.64E-17 4.35E-14 2.47E-11 1.38E-12 1.87E-12 5.52E-18 1.50E-19 8.00E-11 1.00E-11 4.19E-14
  7.50E+05 6.91E-17 5.85E-14 3.43E-11 1.53E-12 3.98E-12 8.92E-18 8.94E-19 1.64E-10 1.41E-11 8.96E-14
  1.15E+06 8.09E-17 2.60E-14 4.24E-11 6.09E-13 1.54E-12 1.57E-18 6.13E-19 1.28E-10 4.44E-12 3.30E-14
  1.55E+06 2.36E-16 1.64E-13 9.71E-11 6.75E-12 8.58E-15 2.84E-21 1.24E-20 1.71E-11 3.02E-13 1.93E-16
  1.95E+06 1.03E-15 1.40E-12 1.60E-10 5.94E-11 4.78E-18 1.22E-24 1.71E-20 9.27E-13 1.64E-14 7.06E-20
  2.35E+06 3.61E-15 6.88E-12 1.51E-10 1.62E-10 1.04E-21 4.82E-28 1.52E-20 5.33E-14 2.29E-15 1.04E-23
  2.75E+06 1.20E-14 2.05E-11 1.25E-10 2.31E-10 5.86E-26 3.32E-31 8.91E-21 3.85E-15 2.43E-14 2.05E-27
  3.15E+06 5.42E-14 4.96E-11 1.36E-10 2.02E-10 1.84E-29 9.61E-31 1.25E-20 1.01E-15 2.72E-14 1.51E-27
  3.55E+06 2.62E-13 1.10E-10 1.77E-10 8.59E-11 1.04E-28 1.31E-29 7.60E-20 1.87E-15 2.63E-14 4.69E-27
  3.95E+06 9.82E-13 1.68E-10 2.01E-10 1.35E-11 4.19E-28 1.22E-28 3.29E-19 3.74E-15 2.44E-14 8.41E-27
  4.35E+06 3.17E-12 1.59E-10 2.54E-10 7.64E-13 1.49E-27 7.86E-28 9.83E-19 6.71E-15 2.14E-14 1.01E-26
  4.75E+06 7.08E-12 9.93E-11 3.39E-10 2.94E-14 3.79E-27 2.83E-27 2.69E-18 1.06E-14 1.76E-14 1.13E-26
  5.15E+06 1.09E-11 4.96E-11 3.99E-10 1.28E-15 6.09E-27 5.93E-27 7.20E-18 1.43E-14 1.38E-14 1.76E-26
  5.55E+06 1.37E-11 2.27E-11 4.29E-10 7.34E-17 9.26E-27 1.05E-26 1.97E-17 1.71E-14 1.10E-14 4.99E-26
  5.95E+06 1.52E-11 9.56E-12 4.42E-10 6.41E-18 2.10E-26 2.32E-26 5.55E-17 1.89E-14 9.22E-15 2.23E-25
  6.35E+06 1.63E-11 3.73E-12 4.47E-10 6.28E-19 4.16E-26 4.07E-26 1.39E-16 1.95E-14 8.50E-15 1.22E-24


 MIXING RATIO OF AEROSOL

     Z      SO4AER
  5.00E+04 8.70E-11
  1.50E+05 1.06E-10
  2.50E+05 1.45E-10
  3.50E+05 1.94E-10
  7.50E+05 3.86E-10
  1.15E+06 5.01E-10
  1.55E+06 5.72E-10
  1.95E+06 4.62E-10
  2.35E+06 3.33E-10
  2.75E+06 2.27E-10
  3.15E+06 1.44E-10
  3.55E+06 8.24E-11
  3.95E+06 4.30E-11
  4.35E+06 2.06E-11
  4.75E+06 9.20E-12
  5.15E+06 3.76E-12
  5.55E+06 1.43E-12
  5.95E+06 4.90E-13
  6.35E+06 1.45E-13


 PHOTOLYSIS RATES

     Z       PO2      PO2D     PCO2     PCO2D    PH2O     PO3      PO3D     PH2O2    PHCO     PH2      PHO2
   5.45E+06 5.88E-10 5.06E-23 9.07E-11 2.43E-22 2.80E-08 6.59E-04 3.35E-03 4.66E-05 4.09E-05 4.15E-05 2.83E-04
   5.75E+06 7.30E-10 1.51E-18 1.44E-10 7.23E-18 6.24E-08 6.77E-04 3.51E-03 4.81E-05 4.10E-05 4.15E-05 2.91E-04
   6.05E+06 1.04E-09 1.88E-15 2.56E-10 9.05E-15 1.44E-07 6.86E-04 3.58E-03 4.90E-05 4.11E-05 4.16E-05 2.97E-04
   6.35E+06 3.04E-09 2.45E-13 6.14E-10 1.18E-12 4.18E-07 6.91E-04 3.62E-03 4.98E-05 4.11E-05 4.16E-05 3.01E-04

     Z      PCH4     PCH3OOH  PN2O     PHNO3    PNO      PNO2     PHNO4    PCCL3F   PCCL2F2  PCCL4    PCH3CL
   5.00E+04 0.00E+00 3.50E-06 4.75E-29 2.28E-07 0.00E+00 4.56E-03 3.62E-06 1.11E-27 4.17E-29 5.31E-27 5.92E-33
   3.50E+05 0.00E+00 4.18E-06 1.06E-23 2.85E-07 3.56-163 5.04E-03 4.45E-06 2.36E-22 1.05E-23 8.85E-22 1.76E-26
   6.50E+05 0.00E+00 4.61E-06 2.23E-19 3.24E-07 1.96-103 5.33E-03 4.98E-06 4.71E-18 2.41E-19 1.47E-17 1.08E-21
   9.50E+05 0.00E+00 4.87E-06 4.42E-16 3.50E-07 5.91E-70 5.49E-03 5.32E-06 9.06E-15 4.99E-16 2.55E-14 3.37E-18
   1.25E+06 0.00E+00 5.02E-06 9.37E-14 3.67E-07 1.44E-47 5.58E-03 5.53E-06 1.89E-12 1.08E-13 5.05E-12 8.85E-16
   1.55E+06 0.00E+00 5.11E-06 3.28E-12 3.82E-07 3.39E-33 5.62E-03 5.68E-06 6.55E-11 3.81E-12 1.72E-10 3.38E-14
   1.85E+06 0.00E+00 5.22E-06 4.13E-11 4.12E-07 4.79E-24 5.65E-03 5.91E-06 8.24E-10 4.80E-11 2.17E-09 4.28E-13
   2.15E+06 0.00E+00 5.41E-06 2.97E-10 5.02E-07 3.75E-18 5.67E-03 6.40E-06 5.94E-09 3.46E-10 1.58E-08 3.03E-12
   2.45E+06 0.00E+00 5.74E-06 1.55E-09 7.89E-07 2.59E-14 5.69E-03 7.49E-06 3.09E-08 1.90E-09 8.16E-08 1.82E-11
   2.75E+06 0.00E+00 6.39E-06 6.58E-09 1.74E-06 8.53E-12 5.71E-03 1.01E-05 1.29E-07 8.92E-09 3.29E-07 1.04E-10
   3.05E+06 0.00E+00 7.62E-06 2.17E-08 4.37E-06 3.87E-10 5.73E-03 1.63E-05 4.15E-07 3.28E-08 1.03E-06 4.51E-10
   3.35E+06 3.24-217 9.81E-06 5.29E-08 9.66E-06 4.64E-09 5.75E-03 2.85E-05 9.99E-07 8.84E-08 2.46E-06 1.37E-09
   3.65E+06 1.22-145 1.31E-05 9.85E-08 1.74E-05 2.28E-08 5.76E-03 4.78E-05 1.84E-06 1.81E-07 4.59E-06 3.07E-09
   3.95E+06 2.60E-99 1.76E-05 1.50E-07 2.64E-05 6.24E-08 5.77E-03 7.51E-05 2.78E-06 3.00E-07 7.02E-06 5.49E-09
   4.25E+06 4.74E-69 2.32E-05 1.97E-07 3.55E-05 1.18E-07 5.78E-03 1.11E-04 3.64E-06 4.27E-07 9.22E-06 8.32E-09
   4.55E+06 5.02E-49 2.88E-05 2.38E-07 4.36E-05 1.78E-07 5.78E-03 1.48E-04 4.35E-06 5.52E-07 1.09E-05 1.13E-08
   4.85E+06 1.69E-35 3.32E-05 2.73E-07 5.04E-05 2.40E-07 5.78E-03 1.78E-04 4.95E-06 6.78E-07 1.21E-05 1.46E-08
   5.15E+06 3.32E-26 3.62E-05 3.05E-07 5.61E-05 3.14E-07 5.78E-03 2.00E-04 5.48E-06 8.12E-07 1.31E-05 1.85E-08
   5.45E+06 9.10E-20 3.81E-05 3.36E-07 6.11E-05 4.20E-07 5.78E-03 2.15E-04 5.99E-06 9.66E-07 1.38E-05 2.35E-08
   5.75E+06 2.71E-15 3.93E-05 3.69E-07 6.59E-05 5.79E-07 5.79E-03 2.24E-04 6.54E-06 1.16E-06 1.46E-05 3.08E-08
   6.05E+06 3.39E-12 3.99E-05 4.08E-07 7.10E-05 8.08E-07 5.79E-03 2.31E-04 7.20E-06 1.43E-06 1.57E-05 4.32E-08
   6.35E+06 4.41E-10 4.04E-05 4.76E-07 7.93E-05 1.32E-06 5.79E-03 2.39E-04 8.42E-06 2.02E-06 1.79E-05 7.62E-08

     Z      PMCCL3   PCL2     PHOCL    PNOCL    PCLONO   PCLONO2  PCLO2    PHCL
   5.00E+04 1.54E-27 1.27E-03 1.27E-04 1.01E-03 2.19E-03 2.85E-05 4.59E-24 2.47E-29
   3.50E+05 3.25E-22 1.45E-03 1.49E-04 1.14E-03 2.56E-03 3.29E-05 1.64E-23 5.49E-24
   6.50E+05 6.45E-18 1.56E-03 1.62E-04 1.22E-03 2.79E-03 3.56E-05 2.25E-22 1.13E-19
   9.50E+05 1.24E-14 1.62E-03 1.70E-04 1.26E-03 2.92E-03 3.72E-05 2.58E-20 2.22E-16
   1.25E+06 2.57E-12 1.65E-03 1.74E-04 1.29E-03 3.00E-03 3.81E-05 1.01E-18 4.65E-14
   1.55E+06 8.93E-11 1.67E-03 1.77E-04 1.30E-03 3.04E-03 3.86E-05 2.49E-17 1.62E-12
   1.85E+06 1.12E-09 1.68E-03 1.79E-04 1.31E-03 3.08E-03 3.93E-05 1.26E-15 2.04E-11
   2.15E+06 8.10E-09 1.69E-03 1.82E-04 1.31E-03 3.13E-03 4.03E-05 1.30E-13 1.48E-10
   2.45E+06 4.19E-08 1.71E-03 1.86E-04 1.33E-03 3.21E-03 4.24E-05 1.60E-11 7.91E-10
   2.75E+06 1.73E-07 1.73E-03 1.93E-04 1.36E-03 3.33E-03 4.67E-05 1.47E-09 3.50E-09
   3.05E+06 5.50E-07 1.74E-03 2.01E-04 1.43E-03 3.48E-03 5.64E-05 7.55E-08 1.21E-08
   3.35E+06 1.31E-06 1.76E-03 2.10E-04 1.55E-03 3.68E-03 7.59E-05 1.88E-06 3.09E-08
   3.65E+06 2.40E-06 1.78E-03 2.21E-04 1.72E-03 3.89E-03 1.09E-04 2.31E-05 6.01E-08
   3.95E+06 3.60E-06 1.80E-03 2.32E-04 1.92E-03 4.11E-03 1.58E-04 1.59E-04 9.53E-08
   4.25E+06 4.67E-06 1.81E-03 2.45E-04 2.10E-03 4.32E-03 2.19E-04 5.73E-04 1.31E-07
   4.55E+06 5.55E-06 1.81E-03 2.58E-04 2.25E-03 4.50E-03 2.78E-04 1.19E-03 1.64E-07
   4.85E+06 6.27E-06 1.82E-03 2.68E-04 2.35E-03 4.62E-03 3.25E-04 1.76E-03 1.97E-07
   5.15E+06 6.89E-06 1.82E-03 2.75E-04 2.42E-03 4.71E-03 3.57E-04 2.17E-03 2.31E-07
   5.45E+06 7.48E-06 1.82E-03 2.80E-04 2.47E-03 4.75E-03 3.77E-04 2.43E-03 2.70E-07
   5.75E+06 8.07E-06 1.82E-03 2.82E-04 2.50E-03 4.78E-03 3.89E-04 2.58E-03 3.21E-07
   6.05E+06 8.77E-06 1.82E-03 2.83E-04 2.53E-03 4.79E-03 3.95E-04 2.66E-03 3.96E-07
   6.35E+06 9.97E-06 1.82E-03 2.84E-04 2.54E-03 4.80E-03 3.99E-04 2.70E-03 5.73E-07

     Z      PNO3     PN2O5    PCL2O2
   5.00E+04 2.07E-02 1.39E-05 6.17E-04
   3.50E+05 2.14E-02 1.66E-05 7.28E-04
   6.50E+05 2.19E-02 1.83E-05 7.98E-04
   9.50E+05 2.22E-02 1.94E-05 8.39E-04
   1.25E+06 2.23E-02 2.00E-05 8.62E-04
   1.55E+06 2.24E-02 2.04E-05 8.76E-04
   1.85E+06 2.24E-02 2.09E-05 8.90E-04
   2.15E+06 2.24E-02 2.19E-05 9.14E-04
   2.45E+06 2.25E-02 2.41E-05 9.51E-04
   2.75E+06 2.25E-02 2.94E-05 1.01E-03
   3.05E+06 2.25E-02 4.13E-05 1.10E-03
   3.35E+06 2.25E-02 6.37E-05 1.23E-03
   3.65E+06 2.25E-02 9.67E-05 1.40E-03
   3.95E+06 2.25E-02 1.38E-04 1.63E-03
   4.25E+06 2.25E-02 1.85E-04 1.97E-03
   4.55E+06 2.25E-02 2.29E-04 2.36E-03
   4.85E+06 2.25E-02 2.63E-04 2.69E-03
   5.15E+06 2.25E-02 2.86E-04 2.92E-03
   5.45E+06 2.25E-02 3.00E-04 3.07E-03
   5.75E+06 2.25E-02 3.09E-04 3.15E-03
   6.05E+06 2.25E-02 3.13E-04 3.19E-03
   6.35E+06 2.25E-02 3.15E-04 3.21E-03
 N =  23  EMAX = 9.94E-08 FOR HSO     AT Z = 1.95E+06 U = 7.06E-20 RHS = 7.01E-27  DT = 3.89E+17  TIME = 5.00E+17
 BEFOREOUT

 TIME = 0.5000E+18     TIMEY =   1.5855E+10 YEARS

 NPHOT =  7

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  5.00E+04 2.01E-10 7.65E-17 1.18E-02 7.70E-14 1.31E-11 1.22E-09 2.30E-08 7.26E-21 5.50E-07 1.60E-06 9.00E-08 5.95E-10
  1.50E+05 2.06E-10 1.07E-16 8.40E-03 9.49E-14 1.33E-11 1.22E-09 2.69E-08 8.27E-21 5.50E-07 1.59E-06 7.99E-08 5.63E-10
  2.50E+05 2.01E-10 1.54E-16 5.76E-03 1.16E-13 1.32E-11 1.16E-09 3.23E-08 9.32E-21 5.51E-07 1.59E-06 7.12E-08 4.85E-10
  3.50E+05 1.86E-10 2.20E-16 3.69E-03 1.37E-13 1.25E-11 9.98E-10 3.89E-08 1.02E-20 5.51E-07 1.58E-06 6.40E-08 3.75E-10
  5.50E+05 1.36E-10 4.24E-16 1.22E-03 1.69E-13 9.49E-12 5.65E-10 5.38E-08 1.11E-20 5.52E-07 1.58E-06 5.31E-08 1.63E-10
  7.50E+05 6.62E-11 7.00E-16 2.51E-04 1.41E-13 4.74E-12 2.20E-10 6.75E-08 8.19E-21 5.52E-07 1.58E-06 4.65E-08 4.72E-11
  9.50E+05 2.65E-11 1.10E-15 3.90E-05 1.08E-13 1.58E-12 6.70E-11 7.96E-08 5.81E-21 5.52E-07 1.57E-06 4.28E-08 9.49E-12
  1.15E+06 1.13E-11 2.30E-15 1.04E-05 8.36E-14 6.31E-13 1.23E-11 1.05E-07 4.71E-21 5.52E-07 1.57E-06 3.87E-08 1.28E-12
  1.35E+06 7.63E-12 8.59E-15 8.53E-06 8.23E-14 4.00E-13 1.01E-12 2.17E-07 4.78E-21 5.51E-07 1.55E-06 3.05E-08 1.94E-13
  1.55E+06 7.60E-12 3.93E-14 8.63E-06 1.09E-13 4.80E-13 6.76E-13 5.28E-07 6.04E-21 5.47E-07 1.50E-06 2.06E-08 1.49E-13
  1.75E+06 8.90E-12 1.54E-13 8.81E-06 1.66E-13 8.00E-13 1.26E-12 1.08E-06 9.27E-21 5.38E-07 1.42E-06 1.40E-08 2.00E-13
  1.95E+06 1.15E-11 5.17E-13 9.03E-06 2.81E-13 1.56E-12 3.16E-12 1.86E-06 1.83E-20 5.23E-07 1.31E-06 1.08E-08 3.42E-13
  2.15E+06 1.57E-11 1.57E-12 9.28E-06 5.25E-13 3.28E-12 9.07E-12 2.86E-06 4.56E-20 5.04E-07 1.20E-06 9.58E-09 6.57E-13
  2.35E+06 2.24E-11 4.49E-12 9.54E-06 1.05E-12 7.17E-12 2.67E-11 4.05E-06 1.35E-19 4.82E-07 1.08E-06 9.38E-09 1.28E-12
  2.55E+06 3.21E-11 1.24E-11 9.80E-06 2.17E-12 1.51E-11 6.96E-11 5.39E-06 4.52E-19 4.57E-07 9.63E-07 9.58E-09 2.21E-12
  2.75E+06 4.39E-11 3.23E-11 1.01E-05 4.49E-12 2.89E-11 1.43E-10 6.72E-06 1.68E-18 4.27E-07 8.46E-07 9.84E-09 3.05E-12
  2.95E+06 5.54E-11 7.87E-11 1.03E-05 9.13E-12 4.86E-11 2.24E-10 7.80E-06 6.93E-18 3.94E-07 7.32E-07 9.92E-09 3.31E-12
  3.15E+06 6.42E-11 1.81E-10 1.06E-05 1.80E-11 7.23E-11 2.72E-10 8.38E-06 3.13E-17 3.57E-07 6.21E-07 9.79E-09 3.03E-12
  3.35E+06 6.90E-11 4.00E-10 1.08E-05 3.37E-11 9.72E-11 2.71E-10 8.42E-06 1.49E-16 3.18E-07 5.17E-07 9.52E-09 2.53E-12
  3.55E+06 6.96E-11 8.69E-10 1.11E-05 6.02E-11 1.21E-10 2.34E-10 8.06E-06 7.16E-16 2.79E-07 4.22E-07 9.20E-09 2.02E-12
  3.75E+06 6.74E-11 1.89E-09 1.13E-05 1.04E-10 1.43E-10 1.86E-10 7.44E-06 3.44E-15 2.42E-07 3.41E-07 8.87E-09 1.60E-12
  3.95E+06 6.35E-11 4.15E-09 1.14E-05 1.75E-10 1.66E-10 1.44E-10 6.58E-06 1.67E-14 2.09E-07 2.74E-07 8.61E-09 1.29E-12
  4.15E+06 5.79E-11 9.08E-09 1.16E-05 2.79E-10 1.93E-10 1.15E-10 5.59E-06 7.66E-14 1.82E-07 2.21E-07 8.52E-09 1.10E-12
  4.35E+06 5.06E-11 1.87E-08 1.17E-05 4.00E-10 2.26E-10 1.01E-10 4.67E-06 2.97E-13 1.62E-07 1.81E-07 8.70E-09 1.02E-12
  4.55E+06 4.23E-11 3.48E-08 1.17E-05 5.17E-10 2.62E-10 9.42E-11 3.89E-06 9.24E-13 1.48E-07 1.53E-07 9.29E-09 9.86E-13
  4.75E+06 3.45E-11 5.85E-08 1.18E-05 6.23E-10 2.99E-10 9.04E-11 3.24E-06 2.39E-12 1.40E-07 1.34E-07 1.05E-08 9.71E-13
  4.95E+06 2.80E-11 9.09E-08 1.18E-05 7.21E-10 3.35E-10 8.83E-11 2.71E-06 5.44E-12 1.36E-07 1.21E-07 1.29E-08 9.57E-13
  5.15E+06 2.30E-11 1.33E-07 1.18E-05 8.22E-10 3.75E-10 8.84E-11 2.27E-06 1.14E-11 1.36E-07 1.13E-07 1.70E-08 9.36E-13
  5.35E+06 1.92E-11 1.85E-07 1.18E-05 9.44E-10 4.26E-10 9.31E-11 1.90E-06 2.27E-11 1.39E-07 1.07E-07 2.38E-08 9.03E-13
  5.55E+06 1.63E-11 2.44E-07 1.18E-05 1.12E-09 5.01E-10 1.07E-10 1.55E-06 4.44E-11 1.43E-07 1.04E-07 3.45E-08 8.53E-13
  5.75E+06 1.41E-11 3.07E-07 1.18E-05 1.39E-09 6.25E-10 1.39E-10 1.23E-06 8.71E-11 1.48E-07 1.02E-07 5.06E-08 7.83E-13
  5.95E+06 1.22E-11 3.74E-07 1.18E-05 1.84E-09 8.35E-10 2.04E-10 9.52E-07 1.79E-10 1.53E-07 1.01E-07 7.44E-08 6.97E-13
  6.15E+06 1.07E-11 4.82E-07 1.18E-05 2.62E-09 1.18E-09 3.26E-10 7.64E-07 4.15E-10 1.58E-07 1.00E-07 1.09E-07 6.10E-13
  6.35E+06 9.64E-12 8.93E-07 1.18E-05 4.30E-09 1.84E-09 5.17E-10 8.75E-07 1.51E-09 1.62E-07 9.99E-08 1.59E-07 5.32E-13

 TP, TL
           1.65E+11 3.42E+15 9.95E+10 5.15E+12 4.59E+12 1.24E+11 3.40E+15 3.72E+12 6.82E+10 0.00E+00 1.63E+11 1.18E+11
           1.64E+11 3.42E+15 8.58E+10 5.15E+12 4.59E+12 1.18E+11 3.40E+15 3.72E+12 6.01E+10 1.76E+11 4.65E+11 1.15E+11

     Z        CH3O2    N2O      NO       NO2      HNO2     HNO3     HO2NO2   NO3      N2O5     CL2O2    CH3CL    HOCL    
  5.00E+04 6.79E-12 3.00E-07 5.66E-12 1.54E-11 3.18E-14 1.29E-10 3.70E-13 9.57E-15 7.14E-17 1.37E-22 5.00E-10 2.25E-13
  1.50E+05 6.71E-12 3.00E-07 7.11E-12 1.77E-11 4.35E-14 1.98E-10 7.78E-13 1.11E-14 1.39E-16 4.22E-22 4.85E-10 2.90E-13
